stock_code,firm_name,industry,year,report_type,mda_text,source_note
DEMO001,演示DEMO001股份有限公司,信息技术,2020,年度报告,公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。受行业周期影响，部分产品价格有所回落，公司及时调整销售策略，库存水平保持在合理范围。公司积极拓展海外市场，出口业务收入同比增长9.4%，国际化布局初见成效。公司构建经营分析数据仓库，管理层可实时查看核心经营指标。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司开展数据治理体系建设，统一主数据标准，提升数据资产质量。公司数据中心一期建成投用，具备 PB 级数据存储与计算能力。公司评估公有云与私有云方案，逐步构建统一算力资源池。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司利用智能合约技术自动执行供应商结算条款。公司积极拓展海外市场，出口业务收入同比增长18.9%，国际化布局初见成效。报告期内公司客户结构进一步优化，前五大客户收入占比为32.5%，客户集中度处于合理区间。公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加45家，覆盖区域进一步扩大。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司开展数据治理体系建设，统一主数据标准，提升数据资产质量。公司与高校联合开展深度学习算法研究，赋能产品智能设计。公司推进经营管理信息化，上线新一代ERP系统实现业财一体。公司本期新增专利授权11项，累计有效专利120项，技术储备进一步夯实。报告期内，公司实现营业收入19.3亿元，同比增长-3.1%，主要得益于主营业务产销规模扩大。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2021,年度报告,公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。公司发展电子商务业务，线上渠道收入占比持续提升。公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。公司现金流状况良好，经营活动现金流量净额为8.7亿元，资产负债结构稳健。公司上线智能排产系统，通过智能算法优化生产计划排程。公司参与行业区块链联盟，推动供应链单证电子化与可信流转。公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司推进智能制造升级，数字化车间已通过省级认定。公司现金流状况良好，经营活动现金流量净额为5.8亿元，资产负债结构稳健。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。公司持续加大研发投入，研发费用占营业收入比例为2.6%，围绕高端装备开展技术攻关。公司利用智能合约技术自动执行供应商结算条款。公司引入人工智能技术优化{prod}质检环节，缺陷识别准确率显著提升。公司与高校联合开展深度学习算法研究，赋能产品智能设计。公司运用数据挖掘技术分析客户行为，实现精准营销。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加45家，覆盖区域进一步扩大。公司参与行业区块链联盟，推动供应链单证电子化与可信流转。公司高度重视安全生产与环境保护，报告期内未发生重大安全事故。公司利用智能合约技术自动执行供应商结算条款。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加88家，覆盖区域进一步扩大。公司与高校联合开展深度学习算法研究，赋能产品智能设计。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2022,年度报告,公司持续优化产品结构，电子元器件业务占比稳步提升，毛利率较上年持平个百分点。公司利用智能合约技术自动执行供应商结算条款。公司参与行业区块链联盟，推动供应链单证电子化与可信流转。公司现金流状况良好，经营活动现金流量净额为8.7亿元，资产负债结构稳健。公司与高校联合开展深度学习算法研究，赋能产品智能设计。公司推进经营管理信息化，上线新一代ERP系统实现业财一体。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。下半年公司将围绕年度经营计划，重点做好市场开拓、成本控制与人才梯队建设等工作。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加88家，覆盖区域进一步扩大。公司运用数据挖掘技术分析客户行为，实现精准营销。公司推进经营管理信息化，上线新一代ERP系统实现业财一体。公司发展电子商务业务，线上渠道收入占比持续提升。公司研究基于分布式账本的对账机制，降低交易核对成本。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加210家，覆盖区域进一步扩大。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。公司深耕西南市场，区域市场份额稳中有升，品牌影响力持续增强。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。公司推进计算机视觉技术在生产线上的应用，实现关键工序自动检测。公司成立数据中台团队，推动业务数据化、数据业务化。公司深耕西南市场，区域市场份额稳中有升，品牌影响力持续增强。公司利用智能合约技术自动执行供应商结算条款。公司利用智能合约技术自动执行供应商结算条款。公司上线智能排产系统，通过智能算法优化生产计划排程。公司持续优化产品结构，纺织服装业务占比稳步提升，毛利率较上年下降1.5个百分点。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司试点数字人民币结算场景，丰富收款渠道。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2023,年度报告,公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司构建经营分析数据仓库，管理层可实时查看核心经营指标。公司制定数字化转型规划，成立数字化管理委员会统筹推进。公司本期新增专利授权3项，累计有效专利120项，技术储备进一步夯实。公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司运用数据挖掘技术分析客户行为，实现精准营销。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司持续加大研发投入，研发费用占营业收入比例为2.6%，围绕精细化工产品开展技术攻关。公司研究基于分布式账本的对账机制，降低交易核对成本。公司上线智能排产系统，通过智能算法优化生产计划排程。公司继续推进产能建设，建材项目一期已投产，预计达产后年新增产能5万吨。公司深耕华南市场，区域市场份额稳中有升，品牌影响力持续增强。公司构建智慧物流体系，仓储分拣自动化水平显著提高。公司持续优化产品结构，纺织服装业务占比稳步提升，毛利率较上年上升1.2个百分点。公司评估公有云与私有云方案，逐步构建统一算力资源池。公司应用数字孪生技术对重点产线进行虚拟建模与仿真优化。公司部署机器学习算法对销售数据进行需求预测，库存周转效率明显改善。公司应用数字孪生技术对重点产线进行虚拟建模与仿真优化。公司上线智能排产系统，通过智能算法优化生产计划排程。公司利用智能合约技术自动执行供应商结算条款。公司继续推进产能建设，食品饮料项目一期已投产，预计达产后年新增产能20万吨。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。公司引入人工智能技术优化{prod}质检环节，缺陷识别准确率显著提升。公司本期新增专利授权8项，累计有效专利56项，技术储备进一步夯实。报告期内，公司实现营业收入63.7亿元，同比增长15.2%，主要得益于主营业务产销规模扩大。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司深耕华东市场，区域市场份额稳中有升，品牌影响力持续增强。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO001,演示DEMO001股份有限公司,信息技术,2024,年度报告,公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司数据中心一期建成投用，具备 PB 级数据存储与计算能力。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。公司建立健全内部控制系统，治理结构规范，三会运作正常。公司利用智能合约技术自动执行供应商结算条款。公司部署机器学习算法对销售数据进行需求预测，库存周转效率明显改善。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。公司试点数字人民币结算场景，丰富收款渠道。公司积极拓展海外市场，出口业务收入同比增长9.4%，国际化布局初见成效。公司开展数据治理体系建设，统一主数据标准，提升数据资产质量。公司研究基于分布式账本的对账机制，降低交易核对成本。公司构建经营分析数据仓库，管理层可实时查看核心经营指标。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司推进经营管理信息化，上线新一代ERP系统实现业财一体。公司继续推进产能建设，纺织服装项目一期已投产，预计达产后年新增产能3万吨。公司利用智能合约技术自动执行供应商结算条款。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司基于云平台搭建协同办公体系，跨区域协作效率提升。公司开展数据治理体系建设，统一主数据标准，提升数据资产质量。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司继续推进产能建设，电子元器件项目一期已投产，预计达产后年新增产能8万吨。公司构建智慧物流体系，仓储分拣自动化水平显著提高。报告期内人民币汇率波动加大，公司通过远期结售汇业务降低了汇兑损失。本年度公司人力成本略有上升，管理费用率保持稳定，费用管控成效显现。公司成立数据中台团队，推动业务数据化、数据业务化。公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司上线智能排产系统，通过智能算法优化生产计划排程。公司推动业务流程线上化，无纸化办公覆盖全部业务部门。公司建立健全内部控制系统，治理结构规范，三会运作正常。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。公司试点数字人民币结算场景，丰富收款渠道。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2020,年度报告,公司构建智慧物流体系，仓储分拣自动化水平显著提高。公司建立健全内部控制系统，治理结构规范，三会运作正常。公司建立健全内部控制系统，治理结构规范，三会运作正常。报告期内公司客户结构进一步优化，前五大客户收入占比为55.1%，客户集中度处于合理区间。报告期内，公司实现营业收入63.7亿元，同比增长22.7%，主要得益于主营业务产销规模扩大。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司积极拓展海外市场，出口业务收入同比增长30.5%，国际化布局初见成效。公司现金流状况良好，经营活动现金流量净额为12.4亿元，资产负债结构稳健。公司推进计算机视觉技术在生产线上的应用，实现关键工序自动检测。公司现金流状况良好，经营活动现金流量净额为8.7亿元，资产负债结构稳健。公司持续加大研发投入，研发费用占营业收入比例为2.6%，围绕电子元器件开展技术攻关。公司研究基于分布式账本的对账机制，降低交易核对成本。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2021,年度报告,公司研究基于分布式账本的对账机制，降低交易核对成本。公司利用智能合约技术自动执行供应商结算条款。公司数据中心一期建成投用，具备 PB 级数据存储与计算能力。报告期内人民币汇率波动加大，公司通过远期结售汇业务降低了汇兑损失。公司构建经营分析数据仓库，管理层可实时查看核心经营指标。公司深耕东北市场，区域市场份额稳中有升，品牌影响力持续增强。公司高度重视安全生产与环境保护，报告期内未发生重大安全事故。公司持续加大研发投入，研发费用占营业收入比例为4.4%，围绕电子元器件开展技术攻关。公司利用智能合约技术自动执行供应商结算条款。公司上线智能排产系统，通过智能算法优化生产计划排程。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。报告期内公司客户结构进一步优化，前五大客户收入占比为41.8%，客户集中度处于合理区间。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司利用智能合约技术自动执行供应商结算条款。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。公司持续加大研发投入，研发费用占营业收入比例为3.2%，围绕电子元器件开展技术攻关。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。公司成立数据中台团队，推动业务数据化、数据业务化。公司上线智能排产系统，通过智能算法优化生产计划排程。公司核心业务系统迁移上云，采用混合云架构降低IT运维成本。公司推进智能制造升级，数字化车间已通过省级认定。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2022,年度报告,公司建设工业互联网平台，实现设备联网与远程运维。公司发展电子商务业务，线上渠道收入占比持续提升。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。公司本期新增专利授权11项，累计有效专利210项，技术储备进一步夯实。公司现金流状况良好，经营活动现金流量净额为8.7亿元，资产负债结构稳健。报告期内人民币汇率波动加大，公司通过远期结售汇业务降低了汇兑损失。公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。公司发展电子商务业务，线上渠道收入占比持续提升。原材料价格波动对成本端形成一定压力，公司通过集中采购和套期保值部分对冲了成本上行风险。公司现金流状况良好，经营活动现金流量净额为3.2亿元，资产负债结构稳健。公司上线智能排产系统，通过智能算法优化生产计划排程。公司主要客户为行业龙头企业，合作关系稳定，应收账款回款情况良好。公司推动业务流程线上化，无纸化办公覆盖全部业务部门。公司推进计算机视觉技术在生产线上的应用，实现关键工序自动检测。报告期内，公司实现营业收入45.2亿元，同比增长15.2%，主要得益于主营业务产销规模扩大。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2023,年度报告,公司研究基于分布式账本的对账机制，降低交易核对成本。公司数据中心一期建成投用，具备 PB 级数据存储与计算能力。公司与高校联合开展深度学习算法研究，赋能产品智能设计。公司制定数字化转型规划，成立数字化管理委员会统筹推进。公司现金流状况良好，经营活动现金流量净额为3.2亿元，资产负债结构稳健。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。报告期内，公司实现营业收入28.4亿元，同比增长-3.1%，主要得益于主营业务产销规模扩大。公司持续加大研发投入，研发费用占营业收入比例为4.4%，围绕纺织服装开展技术攻关。受行业周期影响，部分产品价格有所回落，公司及时调整销售策略，库存水平保持在合理范围。受行业周期影响，部分产品价格有所回落，公司及时调整销售策略，库存水平保持在合理范围。公司现金流状况良好，经营活动现金流量净额为3.2亿元，资产负债结构稳健。公司推动业务流程线上化，无纸化办公覆盖全部业务部门。公司基于云平台搭建协同办公体系，跨区域协作效率提升。公司现金流状况良好，经营活动现金流量净额为1.5亿元，资产负债结构稳健。公司探索区块链技术在产品溯源中的应用，实现全流程信息上链。公司部署机器学习算法对销售数据进行需求预测，库存周转效率明显改善。公司上线智能排产系统，通过智能算法优化生产计划排程。公司数据中心一期建成投用，具备 PB 级数据存储与计算能力。公司利用智能合约技术自动执行供应商结算条款。公司持续优化产品结构，电子元器件业务占比稳步提升，毛利率较上年上升2.5个百分点。公司深耕华南市场，区域市场份额稳中有升，品牌影响力持续增强。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。报告期内公司无重大诉讼仲裁事项，各项经营活动正常开展。,脚本生成演示语料(step0_make_demo_corpus.py)
DEMO002,演示DEMO002股份有限公司,制造业,2024,年度报告,公司持续优化产品结构，电子元器件业务占比稳步提升，毛利率较上年下降1.5个百分点。公司引入人工智能技术优化{prod}质检环节，缺陷识别准确率显著提升。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司开展数据治理体系建设，统一主数据标准，提升数据资产质量。公司建设大数据平台，整合生产、销售与供应链数据，支撑经营决策。公司上线智能排产系统，通过智能算法优化生产计划排程。报告期内，公司获得高新技术企业资质认定，享受相应税收优惠政策。公司推进计算机视觉技术在生产线上的应用，实现关键工序自动检测。公司构建经营分析数据仓库，管理层可实时查看核心经营指标。公司采购云服务替代传统服务器部署，系统上线周期大幅缩短。公司引入边缘计算设备，实现车间数据的就地处理与实时回传。面对市场竞争加剧，公司加大渠道建设力度，经销商数量增加45家，覆盖区域进一步扩大。下半年公司将围绕年度经营计划，重点做好市场开拓、成本控制与人才梯队建设等工作。公司评估公有云与私有云方案，逐步构建统一算力资源池。公司运用数据挖掘技术分析客户行为，实现精准营销。受行业周期影响，部分产品价格有所回落，公司及时调整销售策略，库存水平保持在合理范围。公司推动业务流程线上化，无纸化办公覆盖全部业务部门。公司运用数据挖掘技术分析客户行为，实现精准营销。公司与高校联合开展深度学习算法研究，赋能产品智能设计。受行业周期影响，部分产品价格有所回落，公司及时调整销售策略，库存水平保持在合理范围。公司引入人工智能技术优化{prod}质检环节，缺陷识别准确率显著提升。公司现金流状况良好，经营活动现金流量净额为12.4亿元，资产负债结构稳健。公司建设智能客服系统，应用自然语言处理技术实现工单自动分类。,脚本生成演示语料(step0_make_demo_corpus.py)
